วันเดือนปี,เลขที่เอกสาร,รายการ,RE,JR,JV,PP,จำนวนเงิน,Dr,Cr,หมายเหตุ
01/02/2569,RE001,รับค่าสมัครเรียน,✓,,,,1500.0,1500.0,,นักศึกษาใหม่
02/02/2569,PP001,จ่ายค่าอุปกรณ์การเรียน,,,,✓,850.0,,850.0,ซื้ออุปกรณ์
03/02/2569,JV001,ปรับปรุงรายได้ค้างรับ,,,✓,,2000.0,2000.0,,บันทึกปรับปรุง
04/02/2569,JR001,บันทึกค่าไฟฟ้า,,✓,,,3200.0,,3200.0,ค่าใช้จ่ายประจำเดือน
05/02/2569,RE002,รับค่าหนังสือ,✓,,,,1200.0,1200.0,,ขายหนังสือเรียน
06/02/2569,PP002,จ่ายค่าซ่อมแซมห้องเรียน,,,,✓,2500.0,,2500.0,ซ่อมโปรเจคเตอร์
07/02/2569,RE003,รับค่าอบรมระยะสั้น,✓,,,,3000.0,3000.0,,คอร์สเสริมทักษะ
08/02/2569,JR002,บันทึกค่าอินเทอร์เน็ต,,✓,,,1800.0,,1800.0,รายเดือน
09/02/2569,PP003,จ่ายค่าจ้างวิทยากร,,,,✓,4000.0,,4000.0,อบรมพิเศษ
10/02/2569,RE004,รับค่าธรรมเนียมสอบ,✓,,,,900.0,900.0,,สอบปลายภาค
11/02/2569,JV002,ปรับปรุงค่าเสื่อมอุปกรณ์,,,✓,,1500.0,,1500.0,ค่าเสื่อมราคา
12/02/2569,RE005,รับค่าลงทะเบียนเพิ่ม,✓,,,,2200.0,2200.0,,นักศึกษาเก่า
13/02/2569,PP004,จ่ายค่าน้ำประปา,,,,✓,600.0,,600.0,ค่าน้ำเดือนนี้
14/02/2569,JR003,บันทึกค่าอุปกรณ์สำนักงาน,,✓,,,950.0,,950.0,เครื่องเขียน
15/02/2569,RE006,รับเงินสนับสนุน,✓,,,,5000.0,5000.0,,ผู้สนับสนุนภายนอก
16/02/2569,PP005,จ่ายค่าทำความสะอาด,,,,✓,1200.0,,1200.0,บริการรายเดือน
17/02/2569,JV003,ปรับปรุงหนี้สินค้างจ่าย,,,✓,,2700.0,,2700.0,บันทึกปรับปรุง
18/02/2569,RE007,รับค่ากิจกรรมพิเศษ,✓,,,,1800.0,1800.0,,กิจกรรมเสริม
19/02/2569,JR004,บันทึกค่าโฆษณาประชาสัมพันธ์,,✓,,,2100.0,,2100.0,ประชาสัมพันธ์หลักสูตร
20/02/2569,RE008,รับค่าลงทะเบียนใหม่,✓,,,,2500.0,2500.0,,รอบพิเศษ
