วันเดือนปี,เลขที่เอกสาร,รายการ,RE,JR,JV,PP,จำนวนเงิน,Dr,Cr,หมายเหตุ
20/03/2569,RC-260320,รับชำระค่าธรรมเนียมการศึกษา,รับเงิน,,,,1200.00,เงินสด/เงินฝากธนาคาร,รายได้ค่าธรรมเนียม,ทดสอบรายการ 1
21/03/2569,PV-260321,จ่ายค่าวัสดุสำนักงาน,,,,จ่ายเงินออก,1253.00,ค่าใช้จ่าย,เงินสด/เจ้าหนี้,ทดสอบรายการ 2
22/03/2569,JV-260322,ปรับปรุงรายได้ค้างรับ,,,ปรับปรุงบัญชีทั่วไป,,1306.00,ลูกหนี้อื่น,รายได้ค้างรับ,ทดสอบรายการ 3
23/03/2569,JR-260323,ปรับปรุงเงินสดย่อย,,ปรับปรุงบัญชีเงินสด,,,1359.00,เงินสดย่อย,เงินสด/เงินฝากธนาคาร,ทดสอบรายการ 4
24/03/2569,RC-260324,รับชำระค่าธรรมเนียมการศึกษา,รับเงิน,,,,1412.00,เงินสด/เงินฝากธนาคาร,รายได้ค่าธรรมเนียม,ทดสอบรายการ 5
25/03/2569,PV-260325,จ่ายค่าวัสดุสำนักงาน,,,,จ่ายเงินออก,1465.00,ค่าใช้จ่าย,เงินสด/เจ้าหนี้,ทดสอบรายการ 6
26/03/2569,JV-260326,ปรับปรุงรายได้ค้างรับ,,,ปรับปรุงบัญชีทั่วไป,,1518.00,ลูกหนี้อื่น,รายได้ค้างรับ,ทดสอบรายการ 7
27/03/2569,JR-260327,ปรับปรุงเงินสดย่อย,,ปรับปรุงบัญชีเงินสด,,,1571.00,เงินสดย่อย,เงินสด/เงินฝากธนาคาร,ทดสอบรายการ 8
28/03/2569,RC-260328,รับชำระค่าธรรมเนียมการศึกษา,รับเงิน,,,,1624.00,เงินสด/เงินฝากธนาคาร,รายได้ค่าธรรมเนียม,ทดสอบรายการ 9
29/03/2569,PV-260329,จ่ายค่าวัสดุสำนักงาน,,,,จ่ายเงินออก,1677.00,ค่าใช้จ่าย,เงินสด/เจ้าหนี้,ทดสอบรายการ 10
30/03/2569,JV-260330,ปรับปรุงรายได้ค้างรับ,,,ปรับปรุงบัญชีทั่วไป,,1730.00,ลูกหนี้อื่น,รายได้ค้างรับ,ทดสอบรายการ 11
31/03/2569,JR-260331,ปรับปรุงเงินสดย่อย,,ปรับปรุงบัญชีเงินสด,,,1783.00,เงินสดย่อย,เงินสด/เงินฝากธนาคาร,ทดสอบรายการ 12
01/04/2569,RC-260332,รับชำระค่าธรรมเนียมการศึกษา,รับเงิน,,,,1836.00,เงินสด/เงินฝากธนาคาร,รายได้ค่าธรรมเนียม,ทดสอบรายการ 13
02/04/2569,PV-260333,จ่ายค่าวัสดุสำนักงาน,,,,จ่ายเงินออก,1889.00,ค่าใช้จ่าย,เงินสด/เจ้าหนี้,ทดสอบรายการ 14
03/04/2569,JV-260334,ปรับปรุงรายได้ค้างรับ,,,ปรับปรุงบัญชีทั่วไป,,1942.00,ลูกหนี้อื่น,รายได้ค้างรับ,ทดสอบรายการ 15
