วันเดือนปี,เลขที่เอกสาร,รายการ,RE,JR,JV,PP,จำนวนเงิน,Dr,Cr,หมายเหตุ
01/01/2569,RC-260101,รับชำระค่าธรรมเนียมการศึกษา,รับเงิน,,,,1500.00,เงินสด/เงินฝากธนาคาร,รายได้ค่าธรรมเนียม,งานวิทยาลัย รายการ 1
02/01/2569,PV-260102,จ่ายค่าวัสดุสำนักงาน,,,,จ่ายเงินออก,1537.00,ค่าใช้จ่าย,เงินสด/เจ้าหนี้,งานวิทยาลัย รายการ 2
03/01/2569,JV-260103,ปรับปรุงรายได้ค้างรับ,,,ปรับปรุงบัญชีทั่วไป,,1574.00,ลูกหนี้อื่น,รายได้ค้างรับ,งานวิทยาลัย รายการ 3
04/01/2569,JR-260104,ปรับปรุงเงินสดย่อย,,ปรับปรุงบัญชีเงินสด,,,1611.00,เงินสดย่อย,เงินสด/เงินฝากธนาคาร,งานวิทยาลัย รายการ 4
05/01/2569,RC-260105,รับเงินสนับสนุนกิจกรรมวิชาการ,รับเงิน,,,,1648.00,เงินสด/เงินฝากธนาคาร,รายได้ค่าธรรมเนียม,งานวิทยาลัย รายการ 5
06/01/2569,PV-260106,จ่ายค่าซ่อมบำรุงอาคาร,,,,จ่ายเงินออก,1685.00,ค่าใช้จ่าย,เงินสด/เจ้าหนี้,งานวิทยาลัย รายการ 6
07/01/2569,JV-260107,ปรับปรุงค่าเสื่อมราคาอุปกรณ์,,,ปรับปรุงบัญชีทั่วไป,,1722.00,ลูกหนี้อื่น,รายได้ค้างรับ,งานวิทยาลัย รายการ 7
08/01/2569,JR-260108,จ่ายค่าจ้างวิทยากรอบรม,,ปรับปรุงบัญชีเงินสด,,,1759.00,เงินสดย่อย,เงินสด/เงินฝากธนาคาร,งานวิทยาลัย รายการ 8
09/01/2569,RC-260109,รับชำระค่าธรรมเนียมการศึกษา,รับเงิน,,,,1796.00,เงินสด/เงินฝากธนาคาร,รายได้ค่าธรรมเนียม,งานวิทยาลัย รายการ 9
10/01/2569,PV-260110,จ่ายค่าวัสดุสำนักงาน,,,,จ่ายเงินออก,1833.00,ค่าใช้จ่าย,เงินสด/เจ้าหนี้,งานวิทยาลัย รายการ 10
11/01/2569,JV-260111,ปรับปรุงรายได้ค้างรับ,,,ปรับปรุงบัญชีทั่วไป,,1870.00,ลูกหนี้อื่น,รายได้ค้างรับ,งานวิทยาลัย รายการ 11
12/01/2569,JR-260112,ปรับปรุงเงินสดย่อย,,ปรับปรุงบัญชีเงินสด,,,1907.00,เงินสดย่อย,เงินสด/เงินฝากธนาคาร,งานวิทยาลัย รายการ 12
13/01/2569,RC-260113,รับเงินสนับสนุนกิจกรรมวิชาการ,รับเงิน,,,,1944.00,เงินสด/เงินฝากธนาคาร,รายได้ค่าธรรมเนียม,งานวิทยาลัย รายการ 13
14/01/2569,PV-260114,จ่ายค่าซ่อมบำรุงอาคาร,,,,จ่ายเงินออก,1981.00,ค่าใช้จ่าย,เงินสด/เจ้าหนี้,งานวิทยาลัย รายการ 14
15/01/2569,JV-260115,ปรับปรุงค่าเสื่อมราคาอุปกรณ์,,,ปรับปรุงบัญชีทั่วไป,,2018.00,ลูกหนี้อื่น,รายได้ค้างรับ,งานวิทยาลัย รายการ 15
16/01/2569,JR-260116,จ่ายค่าจ้างวิทยากรอบรม,,ปรับปรุงบัญชีเงินสด,,,2055.00,เงินสดย่อย,เงินสด/เงินฝากธนาคาร,งานวิทยาลัย รายการ 16
17/01/2569,RC-260117,รับชำระค่าธรรมเนียมการศึกษา,รับเงิน,,,,2092.00,เงินสด/เงินฝากธนาคาร,รายได้ค่าธรรมเนียม,งานวิทยาลัย รายการ 17
18/01/2569,PV-260118,จ่ายค่าวัสดุสำนักงาน,,,,จ่ายเงินออก,2129.00,ค่าใช้จ่าย,เงินสด/เจ้าหนี้,งานวิทยาลัย รายการ 18
19/01/2569,JV-260119,ปรับปรุงรายได้ค้างรับ,,,ปรับปรุงบัญชีทั่วไป,,2166.00,ลูกหนี้อื่น,รายได้ค้างรับ,งานวิทยาลัย รายการ 19
20/01/2569,JR-260120,ปรับปรุงเงินสดย่อย,,ปรับปรุงบัญชีเงินสด,,,2203.00,เงินสดย่อย,เงินสด/เงินฝากธนาคาร,งานวิทยาลัย รายการ 20
21/01/2569,RC-260121,รับเงินสนับสนุนกิจกรรมวิชาการ,รับเงิน,,,,2240.00,เงินสด/เงินฝากธนาคาร,รายได้ค่าธรรมเนียม,งานวิทยาลัย รายการ 21
22/01/2569,PV-260122,จ่ายค่าซ่อมบำรุงอาคาร,,,,จ่ายเงินออก,2277.00,ค่าใช้จ่าย,เงินสด/เจ้าหนี้,งานวิทยาลัย รายการ 22
23/01/2569,JV-260123,ปรับปรุงค่าเสื่อมราคาอุปกรณ์,,,ปรับปรุงบัญชีทั่วไป,,2314.00,ลูกหนี้อื่น,รายได้ค้างรับ,งานวิทยาลัย รายการ 23
24/01/2569,JR-260124,จ่ายค่าจ้างวิทยากรอบรม,,ปรับปรุงบัญชีเงินสด,,,2351.00,เงินสดย่อย,เงินสด/เงินฝากธนาคาร,งานวิทยาลัย รายการ 24
25/01/2569,RC-260125,รับชำระค่าธรรมเนียมการศึกษา,รับเงิน,,,,2388.00,เงินสด/เงินฝากธนาคาร,รายได้ค่าธรรมเนียม,งานวิทยาลัย รายการ 25
26/01/2569,PV-260126,จ่ายค่าวัสดุสำนักงาน,,,,จ่ายเงินออก,2425.00,ค่าใช้จ่าย,เงินสด/เจ้าหนี้,งานวิทยาลัย รายการ 26
27/01/2569,JV-260127,ปรับปรุงรายได้ค้างรับ,,,ปรับปรุงบัญชีทั่วไป,,2462.00,ลูกหนี้อื่น,รายได้ค้างรับ,งานวิทยาลัย รายการ 27
28/01/2569,JR-260128,ปรับปรุงเงินสดย่อย,,ปรับปรุงบัญชีเงินสด,,,2499.00,เงินสดย่อย,เงินสด/เงินฝากธนาคาร,งานวิทยาลัย รายการ 28
29/01/2569,RC-260129,รับเงินสนับสนุนกิจกรรมวิชาการ,รับเงิน,,,,2536.00,เงินสด/เงินฝากธนาคาร,รายได้ค่าธรรมเนียม,งานวิทยาลัย รายการ 29
30/01/2569,PV-260130,จ่ายค่าซ่อมบำรุงอาคาร,,,,จ่ายเงินออก,2573.00,ค่าใช้จ่าย,เงินสด/เจ้าหนี้,งานวิทยาลัย รายการ 30
31/01/2569,JV-260131,ปรับปรุงค่าเสื่อมราคาอุปกรณ์,,,ปรับปรุงบัญชีทั่วไป,,2610.00,ลูกหนี้อื่น,รายได้ค้างรับ,งานวิทยาลัย รายการ 31
01/02/2569,JR-260132,จ่ายค่าจ้างวิทยากรอบรม,,ปรับปรุงบัญชีเงินสด,,,2647.00,เงินสดย่อย,เงินสด/เงินฝากธนาคาร,งานวิทยาลัย รายการ 32
02/02/2569,RC-260133,รับชำระค่าธรรมเนียมการศึกษา,รับเงิน,,,,2684.00,เงินสด/เงินฝากธนาคาร,รายได้ค่าธรรมเนียม,งานวิทยาลัย รายการ 33
03/02/2569,PV-260134,จ่ายค่าวัสดุสำนักงาน,,,,จ่ายเงินออก,2721.00,ค่าใช้จ่าย,เงินสด/เจ้าหนี้,งานวิทยาลัย รายการ 34
04/02/2569,JV-260135,ปรับปรุงรายได้ค้างรับ,,,ปรับปรุงบัญชีทั่วไป,,2758.00,ลูกหนี้อื่น,รายได้ค้างรับ,งานวิทยาลัย รายการ 35
05/02/2569,JR-260136,ปรับปรุงเงินสดย่อย,,ปรับปรุงบัญชีเงินสด,,,2795.00,เงินสดย่อย,เงินสด/เงินฝากธนาคาร,งานวิทยาลัย รายการ 36
06/02/2569,RC-260137,รับเงินสนับสนุนกิจกรรมวิชาการ,รับเงิน,,,,2832.00,เงินสด/เงินฝากธนาคาร,รายได้ค่าธรรมเนียม,งานวิทยาลัย รายการ 37
07/02/2569,PV-260138,จ่ายค่าซ่อมบำรุงอาคาร,,,,จ่ายเงินออก,2869.00,ค่าใช้จ่าย,เงินสด/เจ้าหนี้,งานวิทยาลัย รายการ 38
